image,iou,iou_optimal,gap,runtime
Tp_D_CRN_S_N_ani10116_sec00098_11616.jpg,0.779,0.779,0.0,0.75
Tp_D_CRN_S_N_ani10120_ani00100_11618.jpg,0.7068,0.7068,0.0,0.72
Tp_D_CRN_S_N_ani10120_sec00098_11614.jpg,0.4954,0.4954,0.0,0.722
Tp_D_CRN_S_N_ani10121_sec00098_11615.jpg,0.5823,0.5823,0.0,0.733
Tp_D_CRN_S_N_ani10151_ani10206_12489.jpg,0.4633,0.4633,0.0,0.727
Tp_D_CRN_S_N_ani10158_ani10136_12481.jpg,0.8378,0.8378,0.0,0.722
Tp_D_CRN_S_N_ani10181_ani10206_12426.jpg,0.5123,0.5123,0.0,0.72
Tp_D_CRN_S_N_ani10182_ani10206_12423.jpg,0.6541,0.6541,0.0,0.725
Tp_D_CRN_S_N_ani10184_ani10206_12421.jpg,0.4414,0.4414,0.0,0.72
Tp_D_CRN_S_N_ani10189_ani00058_12432.jpg,0.6641,0.6641,0.0,0.744
Tp_D_CRN_S_N_ani10191_ani10190_12437.jpg,0.9016,0.9016,0.0,0.745
Tp_D_CRN_S_N_ani10205_ani10206_12417.jpg,0.5659,0.5659,0.0,0.73
Tp_D_CRN_S_N_arc00030_pla00026_10066.tif,0.807,0.807,0.0,0.725
Tp_D_CRN_S_N_arc00059_art00049_11823.jpg,0.8584,0.8584,0.0,0.733
Tp_D_CRN_S_N_art00011_art00092_11840.jpg,0.6708,0.6708,0.0,0.731
Tp_D_CRN_S_N_art00027_art00013_00695.tif,0.8928,0.8928,0.0,0.753
Tp_D_CRN_S_N_art00081_ani00098_00491.tif,0.7305,0.7305,0.0,0.749
Tp_D_CRN_S_N_art10111_art10112_11563.jpg,0.6254,0.6254,0.0,0.739
Tp_D_CRN_S_N_art20026_art20025_01832.tif,0.8984,0.8984,0.0,0.748
Tp_D_CRN_S_N_cha00026_art00013_00500.tif,0.7395,0.7395,0.0,0.731
Tp_D_CRN_S_N_cha00028_art00013_00499.tif,0.6692,0.6692,0.0,0.727
Tp_D_CRN_S_N_cha00029_art00013_00501.tif,0.8182,0.8182,0.0,0.734
Tp_D_CRN_S_N_cha00036_art00053_11741.jpg,0.7591,0.7591,0.0,0.747
Tp_D_CRN_S_N_cha00036_art00076_11740.jpg,0.7246,0.7246,0.0,0.744
Tp_D_CRN_S_N_cha00055_ani00013_00375.tif,0.5613,0.5613,0.0,0.742
Tp_D_CRN_S_N_cha00075_cha00086_10868.jpg,0.783,0.783,0.0,0.751
Tp_D_CRN_S_N_cha00078_ani00013_00398.tif,0.6711,0.6711,0.0,0.744
Tp_D_CRN_S_N_cha00093_ani00081_10408.tif,0.816,0.816,0.0,0.737
Tp_D_CRN_S_N_cha10117_nat10123_12168.jpg,0.9573,0.9573,0.0,0.725
Tp_D_CRN_S_N_cha10141_cha00086_12234.jpg,0.2785,0.2785,0.0,0.711
Tp_D_CRN_S_N_cha10142_cha00086_12235.jpg,0.2295,0.2295,0.0,0.72
Tp_D_CRN_S_N_cha10149_cha10148_12225.jpg,0.8706,0.8706,0.0,0.745
Tp_D_CRN_S_N_cha10150_cha00040_12221.jpg,0.7985,0.7985,0.0,0.748
